RMSE,Rsquared,MAE,Training_Size,Data
0.014982994628682399,0.7121721084815404,0.01089302430267688,287,Testing
0.01211007853862387,0.8196752800052406,0.008749023524901929,71,Training
0.01254941246983727,0.7874854137954783,0.00910789969231685,86,Training
0.013008712813597207,0.7381261651702272,0.00925174929665375,100,Training
0.013002961244171376,0.7998063679242303,0.009002413882384456,114,Training
0.014733252867587433,0.6803007370775729,0.010201353223307327,129,Training
0.01440078337639137,0.7419806477317927,0.010231074812348688,143,Training
0.013232752999817974,0.7393167219629369,0.00945379645852989,157,Training
0.015362649508668754,0.7048039779150158,0.01116913080004432,172,Training
0.014111123975744233,0.7263676399846514,0.009998366126883387,186,Training
0.01337952060829187,0.7686150106973118,0.009691055970125484,200,Training
0.014869331583420171,0.7110218009691468,0.01055527851807378,215,Training
0.014862763016103508,0.7160267015300453,0.010635214996545014,229,Training
0.0142361052212586,0.747227661865183,0.010403211273447906,243,Training
0.014067093969791257,0.7131787494541125,0.010149220232374523,258,Training
0.014834022835598018,0.7145852179743495,0.010740966759618963,272,Training
0.014688502104378791,0.7124717576787453,0.010604458801495385,287,Training
0.014491660391200447,0.7585922239779677,0.010482514451671435,71,Testing
0.01478770114004948,0.7279355860832362,0.010823392345457308,86,Testing
0.014148191436731964,0.7259974306797775,0.010341520200570064,100,Testing
0.014215915364203368,0.7723671471771186,0.010077110299038043,114,Testing
0.015640348511898387,0.6702428634496427,0.011409087226612914,129,Testing
0.0151038327979334,0.7286439731349682,0.011020675746574558,143,Testing
0.0139333314970548,0.7337374867608053,0.010172262147695791,157,Testing
0.015618962011465757,0.7070690696025894,0.01156976610479354,172,Testing
0.014409309174820343,0.7312728135529816,0.010370224349619848,186,Testing
0.014034758975341946,0.755800201124382,0.010301250707469923,200,Testing
0.015264761443209367,0.7071052049933829,0.011048478745728509,215,Testing
0.01522709508271053,0.7133024999270822,0.011049226506809761,229,Testing
0.014491591674155946,0.7461755811942858,0.010693501329975165,243,Testing
0.014464348835751989,0.7124991529010306,0.010553219812522467,258,Testing
0.015025913687575415,0.7168420989824863,0.011019057430567315,272,Testing
0.014958564185161055,0.7121938282287076,0.010940296412695614,287,Testing
0.014217347021379898,0.7382218222269646,0.009975065297764128,71,Training
0.010978153221683277,0.839232826927402,0.0075395158815974,86,Training
0.014965120755036634,0.7152520900712587,0.010279084264644333,100,Training
0.015199981608811764,0.6996947751532201,0.010362406371146242,114,Training
0.013606077367684263,0.7462691002391125,0.009829018570720176,129,Training
0.014065152167290044,0.7697549863336403,0.009864639819597126,143,Training
0.015606272809288845,0.6568216793461201,0.010923430058974228,157,Training
0.01357457024437786,0.760777443669786,0.009786817241183368,172,Training
0.014107681688289221,0.765368522681926,0.01037836995974344,186,Training
0.014896431202725453,0.7188924365697256,0.0109337719189624,200,Training
0.015204810443901231,0.679942542822889,0.011027620282819825,215,Training
0.015207622978568145,0.7017065356580028,0.010818053015468914,229,Training
0.015057726181494186,0.7118811291715841,0.010914001740515036,243,Training
0.01502721011245687,0.7157300204653396,0.010864791852836505,258,Training
0.01511394805720267,0.7009261803658329,0.011024837863655773,272,Training
0.015086444562178275,0.702671700786346,0.0109289283023296,287,Training
0.01547810401692473,0.7038496104377677,0.01117760261027139,71,Testing
0.012945681039379863,0.8045890309254714,0.009215569522455303,86,Testing
0.01536316746753476,0.7119816757377628,0.01090691773709547,100,Testing
0.015361875437004615,0.699638106130827,0.010837769247847165,114,Testing
