Model,Metric,dataset,Data,Intercept,Mtry,Ncomp,C,Mean_Degree,Mean_Scale,Mean_Sigma,Mean_Performance,Std_Dev_Performance,Range_Performance,N,Splitting
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,3.388,1.2,0.1,NA,0.01881522452062202,0.0015792370321759956,0.004316230630559879,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,72,NA,NA,NA,NA,0.01881016019679752,0.0017606339437636238,0.006289676124650203,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,18.207,NA,NA,NA,0.018795203393551407,0.0017661567258511893,0.00683661549656029,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,85,NA,NA,NA,NA,0.018792835978607425,0.0014449776688859914,0.0056506766403969615,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,16.128,1.15,0.0955,NA,0.018792268869445506,0.0038196237603188173,0.017402847839603545,20,Random
SVMP,RMSE,sq_training,Spectra,NA,NA,NA,1.792,1.25,0.1,NA,0.018790283568037816,0.0016209677696402127,0.005690869351230022,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,70,NA,NA,NA,NA,0.01878676642182824,0.0014656570648664017,0.005440442912148085,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,66,NA,NA,NA,NA,0.018784329284055,0.0014947125958265362,0.004499790642642672,20,Random
SVMP,RMSE,std_training,Spectra,NA,NA,NA,2.2680000000000002,1.6,0.055,NA,0.01877354736782689,0.002213566853700491,0.008684553661382995,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,8,NA,NA,NA,NA,0.01877344847170937,0.001610604685685666,0.004869015058938119,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,3.7030000000000003,1.2,0.1,NA,0.018767440925156205,0.0015705284285794162,0.0042974486941217485,20,Random
PCR,RMSE,base_training,Spectra,NA,NA,13,NA,NA,NA,NA,0.018759628074709194,0.0017184274783923709,0.00569585468985917,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,17.5,NA,NA,NA,0.01875926052625794,0.0017638645668565146,0.0068042622806613225,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,63,NA,NA,NA,NA,0.018757452807383362,0.0015488947627040374,0.004768482397315088,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,71,NA,NA,NA,NA,0.018754172331087494,0.0017533297649165549,0.00594091463026551,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,10.108,1.15,0.0955,NA,0.018751868033300412,0.002585833202377908,0.010303267018770882,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,84,NA,NA,NA,NA,0.018751501551926057,0.0014373731677444941,0.005630341270406809,20,Random
PLS,RMSE,sq_training,Spectra,NA,NA,6,NA,NA,NA,NA,0.018747594599639695,0.0016682382626517728,0.005169935076045285,20,Random
PLS,RMSE,base_training,Spectra,NA,NA,5,NA,NA,NA,NA,0.01874576728479276,0.0018014671742172946,0.006253505890231097,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,11,NA,NA,NA,NA,0.01874525213741857,0.0015094904264044474,0.005006941555940721,20,Random
PCR,RMSE,abs_training,Spectra,NA,NA,11,NA,NA,NA,NA,0.01873742642067323,0.0015046195267846368,0.004915345046381126,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,65,NA,NA,NA,NA,0.01873511213144314,0.0015502571631774863,0.004795229242817001,20,Random
SVMP,RMSE,sq_training,Spectra,NA,NA,NA,2.023,1.2,0.1,NA,0.018734113452118787,0.0017436856215435684,0.0064136457546291915,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,10.647,1.15,0.0955,NA,0.018733116221398092,0.002624999230522531,0.010568383260167877,20,Random
SVML,RMSE,abs_training,Spectra,NA,NA,NA,0.343,NA,NA,NA,0.018725990208294286,0.0016079774995134085,0.00450622025085972,20,Random
SVMP,RMSE,abs_training,Spectra,NA,NA,NA,4.032,1.2,0.1,NA,0.018724653726191053,0.0015613734279795151,0.004313413978273093,20,Random
PCR,RMSE,max_training,Spectra,NA,NA,69,NA,NA,NA,NA,0.01872319524634507,0.001444083550492441,0.0052072088458432735,20,Random
SVML,RMSE,sq_training,Spectra,NA,NA,NA,0.112,NA,NA,NA,0.018721499448127912,0.0015063463621124093,0.004262758271000342,20,Random
SVML,RMSE,std_training,Spectra,NA,NA,NA,16.807,NA,NA,NA,0.01872037985336399,0.0017577942784066769,0.00674154193460488,20,Random
SVMP,RMSE,max_training,Spectra,NA,NA,NA,2.527,1.25,0.0955,NA,0.01871954250926677,0.0014372238162458635,0.0053484278303418745,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,70,NA,NA,NA,NA,0.018717982548158138,0.00173288846389871,0.005918803698564613,20,Random
PCR,RMSE,std_training,Spectra,NA,NA,64,NA,NA,NA,NA,0.018716798919677615,0.0015561067981523897,0.004727314461919978,20,Random
SVML,RMSE,base_training,Spectra,NA,NA,NA,0.448,NA,NA,NA,0.018714302202218508,0.0018101670439423633,0.005997610346525534,20,Random
PCR,RMSE,sq_training,Spectra,NA,NA,10,NA,NA,NA,NA,0.018713138895621234,0.0015651430600731732,0.004886858247279916,20,Random
